https://www.cdc.gov/nchs/data/series/sr_13/sr13_101.pdf
Vital and Health Statistics, Series 13, Number 101, September 1989:
Trends in Hospital Utilization: United States, 1965-86
by U.S Department of Health and Human Services, Public Health Service
Table 16. Cesarean section rates for patienta discharged from short-stay hospitals, by age: United States, 1965-86
Year | AllAges | AgeUnder20 | Age20to24 | Age25to29 | Age30to34 | AgesOver34
1965 | 4.5 | 3.1 | 3.5 | 4.3 | 6.4 | 7.9
1966 | 4.7 | 2.8 | 3.9 | 4.9 | 6.3 | 8.2
1967 | 5.1 | 3.7 | 3.9 | 5.2 | 7.2 | 10.4
1968 | 5.3 | 3.6 | 4.3 | 5.4 | 7.2 | 10.0
1969 | | | | | |
1970 | 5.5 | 3.9 | 4.9 | 5.9 | 7.5 | 8.3
1971 | 5.8 | 4.2 | 4.6 | 6.5 | 7.8 | 11.3
1972 | 7.0 | 5.4 | 5.8 | 7.8 | 9.4 | 11.3
1973 | 8.0 | 6.3 | 7.2 | 8.1 | 10.2 | 13.3
1974 | 9.2 | 6.4 | 8.8 | 9.7 | 11.5 | 13.6
1975 | 10.4 | 8.4 | 9.0 | 11.1 | 13.6 | 15.0
1976 | 12.1 | 10.1 | 11.7 | 12.3 | 13.6 | 16.9
1977 | 13.7 | 11.2 | 12.5 | 14.8 | 15.3 | 17.9
1978 | 15.2 | 11.8 | 13.1 | 16.4 | 19.3 | 21.3
1979 | 16.4 | 13.7 | 15.6 | 16.4 | 19.5 | 21.1
1980 | 16.5 | 14.5 | 15.8 | 16.7 | 18.0 | 20.6
1981 | 17.9 | 13.2 | 16.0 | 19.4 | 21.3 | 24.4
1982 | 18.5 | 13.4 | 17.6 | 19.9 | 20.4 | 23.6
1983 | 20.3 | 15.0 | 19.0 | 20.5 | 24.6 | 25.4
1984 | 21.1 | 16.5 | 19.6 | 20.8 | 24.6 | 28.7
1985 | 22.7 | 16.1 | 21.2 | 22.9 | 26.6 | 30.7
1986 | 24.1 | 18.3 | 21.9 | 25.3 | 26.2 | 32.6
